Model,Stage,V_SPD,V_EOD,V_AOD,V_ERD
AC1,SS,-0.096,-0.162,-0.113,0.099
,LE,-0.006,0.034,0.019,-0.031
AC2,MV,-0.004,-0.022,-0.011,0.022
AC3,Custom(f),0.008,0.011,0.007,-0.007
AC4,PCA,-0.009,-0.042,-0.026,0.031
,SS,-0.081,-0.104,-0.071,0.066
AC5,LE,0,-0.006,-0.002,0.008
AC6,Custom(f),0.013,0.033,0.018,-0.029
,Custom(c),-0.003,-0.002,-0.003,-0.001
AC7,PCA,-0.053,-0.224,-0.136,0.177
,SS,-0.11,-0.223,-0.149,0.148
,Custom(f),-0.055,-0.113,-0.071,0.083
AC8,SS,0,0,0,0
,Custom(f),0,-0.007,-0.003,0.008
,Stratify,-0.002,0.003,0,-0.007
AC9,SS,-0.099,-0.022,-0.038,-0.032
AC10,Impute,-0.081,-0.02,-0.027,-0.015